venue,market_id,slug,question/title,company,kpi,market_category,period_start,period_end,resolution_date,url,volume,polymarket_liquidity_current,open_interest_current,open_interest_at_resolution,asof_utc,data_source
Polymarket,220931,will-tesla-report-more-than-200k-deliveries-for-q2-2021,Will Tesla report more than 200k deliveries for Q2 2021?,Tesla,Deliveries,kpi_curated,2021-04-01,2021-06-30,2021-07-28,https://polymarket.com/event/will-tesla-report-more-than-200k-deliveries-for-q2-2021,5855.393291,0.000019,,,2026-03-05T11:29:42.490863Z,https://gamma-api.polymarket.com/markets?id=220931
Polymarket,221218,will-facebook-report-having-more-than-36-billion-map-in-2q-2021,Will Facebook report having more than 3.6 billion Monthly Active People in Q2 2021?,Facebook,Monthly Active People (MAP),kpi_curated,2021-04-01,2021-06-30,2021-07-28,https://polymarket.com/event/will-facebook-report-having-more-than-36-billion-map-in-2q-2021,126556.103866,60.400088,,,2026-03-05T11:29:42.490863Z,https://gamma-api.polymarket.com/markets?id=221218
Polymarket,222376,will-spotify-report-at-least-164m-total-premium-subscribers-in-q2-2021,Will Spotify report at least 164m total premium subscribers in Q2 2021?,Spotify,Premium subscribers,kpi_curated,2021-04-01,2021-06-30,2021-07-28,https://polymarket.com/event/will-spotify-report-at-least-164m-total-premium-subscribers-in-q2-2021,5468.032233,149.673668,,,2026-03-05T11:29:42.490863Z,https://gamma-api.polymarket.com/markets?id=222376
Polymarket,202350,q1-2024-airbnb-nights-between-130m-and-140m,How many nights and experiences booked will Airbnb report for Q1 of 2024?,Airbnb,Nights and experiences booked,kpi_curated,2024-01-01,2024-03-31,2024-05-08,https://polymarket.com/event/q1-2024-airbnb-nights-between-130m-and-140m,75679.372592,8009.32695,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,225019,q2-2024-airbnb-nights-between-120m-and-130m,How many nights and experiences booked will Airbnb report for Q2 of 2024?,Airbnb,Nights and experiences booked,kpi_curated,2024-04-01,2024-06-30,2024-08-07,https://polymarket.com/event/q2-2024-airbnb-nights-between-120m-and-130m,115515.721521,6886.457153,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,248180,q3-2024-uber-rides-between-2-8b-and-2-95b,How many rides will Uber report for Q3 of 2024?,Uber,Rides,kpi_curated,2024-07-01,2024-09-30,2024-11-06,https://polymarket.com/event/q3-2024-uber-rides-between-2-8b-and-2-95b,49276.150645,22067.281536,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,248181,q3-2024-doordash-orders-between-640m-and-655m,How many orders will DoorDash report for Q3 of 2024?,DoorDash,Orders,kpi_curated,2024-07-01,2024-09-30,2024-11-06,https://polymarket.com/event/q3-2024-doordash-orders-between-640m-and-655m,47229.28355,6601.58861,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,248183,q3-2024-airbnb-nights-between-120m-and-130m,How many nights and experiences booked will Airbnb report for Q3 of 2024?,Airbnb,Nights and experiences booked,kpi_curated,2024-07-01,2024-09-30,2024-11-06,https://polymarket.com/event/q3-2024-airbnb-nights-between-120m-and-130m,32203.317564,6064.693059,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,268404,q4-2024-uber-rides-between-2-95b-and-3-05b,How many rides will Uber report for Q4 of 2024?,Uber,Rides,kpi_curated,2024-10-01,2024-12-31,2025-02-05,https://polymarket.com/event/q4-2024-uber-rides-between-2-95b-and-3-05b,194410.670274,20133.55458,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,268405,q4-2024-doordash-orders-between-670m-and-690m,How many orders will DoorDash report for Q4 of 2024?,DoorDash,Orders,kpi_curated,2024-10-01,2024-12-31,2025-02-05,https://polymarket.com/event/q4-2024-doordash-orders-between-670m-and-690m,34754.164482,8171.509068,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,268407,q4-2024-airbnb-nights-between-110m-and-120m,How many nights and experiences booked will Airbnb report for Q4 of 2024?,Airbnb,Nights and experiences booked,kpi_curated,2024-10-01,2024-12-31,2025-02-05,https://polymarket.com/event/q4-2024-airbnb-nights-between-110m-and-120m,28769.496109,4668.624523,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,294062,q1-2025-uber-rides-between-2-95b-and-3-05b,How many rides will Uber report for Q1 of 2025?,Uber,Rides,kpi_curated,2025-01-01,2025-03-31,2025-05-07,https://polymarket.com/event/q1-2025-uber-rides-between-2-95b-and-3-05b,71720.825683,12528.93833,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,294063,q1-2025-doordash-deliveries-between-670m-and-685m,How many deliveries will DoorDash report for Q1 of 2025?,DoorDash,Deliveries,kpi_curated,2025-01-01,2025-03-31,2025-05-07,https://polymarket.com/event/q1-2025-doordash-deliveries-between-670m-and-685m,6878.995093,3115.443962,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,294065,q1-2025-airbnb-nights-between-140m-and-145m,How many nights and experiences booked will Airbnb report for Q1 of 2025?,Airbnb,Nights and experiences booked,kpi_curated,2025-01-01,2025-03-31,2025-05-07,https://polymarket.com/event/q1-2025-airbnb-nights-between-140m-and-145m,11292.847306,4052.772971,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,320709,q2-2025-uber-rides-between-3-1b-and-3-2b,How many rides will Uber report for Q2 of 2025?,Uber,Rides,kpi_curated,2025-04-01,2025-06-30,2025-08-06,https://polymarket.com/event/q2-2025-uber-rides-between-3-1b-and-3-2b,21288.443531,5100.506937,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,320710,q2-2025-doordash-deliveries-between-690m-and-710m,How many deliveries will DoorDash report for Q2 of 2025?,DoorDash,Deliveries,kpi_curated,2025-04-01,2025-06-30,2025-08-06,https://polymarket.com/event/q2-2025-doordash-deliveries-between-690m-and-710m,3116.266595,2017.322146,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,320712,q2-2025-airbnb-nights-booked-between-130m-and-140m,How many nights and experiences booked will Airbnb report for Q2 of 2025?,Airbnb,Nights and experiences booked,kpi_curated,2025-04-01,2025-06-30,2025-08-06,https://polymarket.com/event/q2-2025-airbnb-nights-booked-between-130m-and-140m,3349.577465,1809.942231,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,334365,q3-2025-uber-trips-between-3-2b-and-3-35b,How many trips will Uber report for Q3 of 2025?,Uber,Trips,kpi_curated,2025-07-01,2025-09-30,2025-11-05,https://polymarket.com/event/q3-2025-uber-trips-between-3-2b-and-3-35b,17487.200061,11914.468111,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
Polymarket,334366,q3-2025-doordash-deliveries-between-710m-and-730m,How many deliveries will DoorDash report for Q3 of 2025?,DoorDash,Deliveries,kpi_curated,2025-07-01,2025-09-30,2025-11-05,https://polymarket.com/event/q3-2025-doordash-deliveries-between-710m-and-730m,2143.338978,1692.044494,,,2026-03-05T10:23:31.170867Z,https://gamma-api.polymarket.com/markets?search=<keyword>&limit=100&offset=0
